alpha,rand,100,3,2224,1162,1062
alpha,rand,100,4,2065,1082,983
alpha,rand,100,5,1885,992,893
alpha,rand,100,6,1689,892,797
alpha,rand,100,7,1428,762,666
alpha,rand,100,8,1239,667,572
alpha,rand,100,9,1065,580,485
alpha,rand,100,10,910,501,409
alpha,rand,100,11,841,466,375
alpha,rand,100,12,850,471,379
alpha,rand,100,13,812,452,360
alpha,rand,100,14,725,409,316
alpha,rand,100,15,696,394,302
alpha,rand,100,16,681,386,295
alpha,rand,100,17,650,372,278
alpha,rand,100,18,667,379,288
alpha,rand,100,19,622,357,265
alpha,rand,100,20,599,345,253
alpha,rand,100,21,611,351,260
alpha,rand,100,22,612,352,259
alpha,rand,100,23,600,345,254
alpha,rand,100,24,587,338,248
alpha,rand,100,25,627,359,267
alpha,rand,100,26,576,333,242
alpha,rand,100,27,613,351,262
alpha,rand,100,28,570,330,240
alpha,rand,100,29,564,326,236
alpha,rand,100,30,570,330,240
alpha,rand,100,31,566,328,237
alpha,rand,100,32,569,329,238
alpha,rand,100,33,554,322,231
alpha,rand,100,34,538,312,224
alpha,rand,100,35,552,318,229
alpha,rand,100,36,542,312,224
alpha,rand,100,37,569,328,237
alpha,rand,100,38,550,318,230
alpha,rand,100,39,520,302,216
alpha,rand,100,40,497,289,204
alpha,rand,100,41,526,307,217
alpha,rand,100,42,503,293,205
alpha,rand,100,43,518,301,212
alpha,rand,100,44,503,291,202
alpha,rand,100,45,496,288,201
alpha,rand,100,46,490,282,201
alpha,rand,100,47,496,286,200
alpha,rand,100,48,475,273,189
alpha,rand,100,49,506,289,205
alpha,rand,100,50,490,282,194
alpha,rand,100,51,491,283,194
alpha,rand,100,52,481,274,189
alpha,rand,100,53,476,271,186
alpha,rand,100,54,458,265,178
alpha,rand,100,55,453,258,174
alpha,rand,100,56,449,259,174
alpha,rand,100,57,432,249,166
alpha,rand,100,58,428,245,160
alpha,rand,100,59,431,248,166
alpha,rand,100,60,417,235,158
alpha,rand,100,61,425,244,162
alpha,rand,100,62,406,236,149
alpha,rand,100,63,425,244,158
alpha,rand,100,64,415,236,149
alpha,rand,100,65,416,237,150
alpha,rand,100,66,408,233,149
alpha,rand,100,67,404,230,142
alpha,rand,100,68,386,218,136
alpha,rand,100,69,400,228,143
alpha,rand,100,70,393,225,140
alpha,rand,100,71,369,210,123
alpha,rand,100,72,360,203,117
alpha,rand,100,73,346,195,111
alpha,rand,100,74,356,200,120
alpha,rand,100,75,360,202,118
alpha,rand,100,76,338,190,106
alpha,rand,100,77,343,191,107
alpha,rand,100,78,334,185,99
alpha,rand,100,79,332,183,98
alpha,rand,100,80,329,181,93
alpha,rand,100,81,317,176,89
alpha,rand,100,82,320,178,89
alpha,rand,100,83,304,169,81
alpha,rand,100,84,303,166,77
alpha,rand,100,85,296,162,75
alpha,rand,100,86,290,159,70
alpha,rand,100,87,281,152,60
alpha,rand,100,88,269,145,54
alpha,rand,100,89,263,143,54
alpha,rand,100,90,259,139,49
alpha,rand,100,91,244,130,38
alpha,rand,100,92,260,139,46
alpha,rand,100,93,238,125,32
alpha,rand,100,94,234,124,30
alpha,rand,100,95,224,117,21
alpha,rand,100,96,233,119,23
alpha,rand,100,97,216,110,13
alpha,rand,100,98,211,107,9
alpha,rand,100,99,210,107,8
